DEPTH,CLUSTER_LABEL,CLUSTER_0_PROB,CLUSTER_1_PROB,CLUSTER_2_PROB,CLUSTER_3_PROB,CLUSTER_4_PROB
2194.01306,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.03846,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.06386,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.08926,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.11466,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.14006,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.16546,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.19086,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.21626,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.24166,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.26706,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.29246,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.31786,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.34326,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.36866,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.39406,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.41946,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.44486,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.47026,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.49566,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.52106,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.54646,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.57186,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.59726,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.62266,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.64806,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.67346,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.69886,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.72426,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.74966,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.77506,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.80046,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.82586,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.85126,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.87666,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.90206,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.92746,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.95286,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2194.97826,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2195.00366,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2195.02906,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2195.05446,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2195.07986,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2195.10526,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2195.13066,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2195.15606,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2195.18146,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
2195.20686,0,0.014794702557443034,0.9773569952467657,0.0,2.0015370544164678e-05,0.007828286825247274
