DEPTH,CON_MEAN_DYNA,DIS_MEAN_DYNA,HOM_MEAN_DYNA,ENG_MEAN_DYNA,COR_MEAN_DYNA,ASM_MEAN_DYNA,ENT_MEAN_DYNA,CON_SUB_DYNA,DIS_SUB_DYNA,HOM_SUB_DYNA,ENG_SUB_DYNA,COR_SUB_DYNA,ASM_SUB_DYNA,ENT_SUB_DYNA,CON_X_DYNA,DIS_X_DYNA,HOM_X_DYNA,ENG_X_DYNA,COR_X_DYNA,ASM_X_DYNA,ENT_X_DYNA,CON_Y_DYNA,DIS_Y_DYNA,HOM_Y_DYNA,ENG_Y_DYNA,COR_Y_DYNA,ASM_Y_DYNA,ENT_Y_DYNA
2195.35926,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.38466,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.41006,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.43546,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.46086,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.48626,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.51166,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.53706,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.56246,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.58786,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.61326,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.63866,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.66406,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.68946,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.71486,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.74026,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.76566,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.79106,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
2195.81646,0,0,1,1,1,1,-1.44E-10,0,0,0,0,0,0,0,0,0,1,1,1,1,-1.44E-10,0,0,1,1,1,1,-1.44E-10
